Participant_ID,Year Born,Age,Gender,Track,Artist,Genre,Control?,Year_Released,Know_Prior,Know_After,Memory,Mem_pos_neg,Age_mem,Age_To_Release
1017,1981,40,M,Get Stoned,Hinder,Rock,0,2005,1,,1,1,21,-3
1017,1981,40,M,Lonely Day,System of a Down,Rock,0,2005,1,,0,,,-24
1017,1981,40,M,Cold(But I'm Still Here),Evans Blue,Rock,0,2006,0,0,0,,,-25
1017,1981,40,M,Baby Mama,Fantasia,R&B and Hip-Hop,0,2004,0,0,0,,,-23
1017,1981,40,M,Again,Janet Jackson,R&B and Hip-Hop,0,1993,1,,0,,,-12
1017,1981,40,M,Treat U Rite,Angela Winbush,R&B and Hip-Hop,0,1994,0,0,0,,,-13
1017,1981,40,M,Ever The Same,Rob Thomas,Pop,0,2005,0,0,1,1,21,-3
1017,1981,40,M,Always On Your Side,Sheryl Crow & Sting,Pop,0,2005,0,0,0,,,-24
1017,1981,40,M,When Did You Fall,Chris Rice,Pop,0,2005,0,0,0,,,-24
1017,1981,40,M,All American Nightmare,Hinder,Rock,1,2010,0,0,0,,,-29
1017,1981,40,M,Adrenaline,Shinedown,Rock,1,2012,1,,0,,,-31
1017,1981,40,M,Letter From a Thief,Chevelle,Rock,1,2009,0,0,0,,,-28
1017,1981,40,M,White Iverson,Post Malone,R&B and Hip-Hop,1,2016,0,1,0,,,-35
1017,1981,40,M,No Shopping,French Montana & Drake,R&B and Hip-Hop,1,2016,0,0,0,,,-35
1017,1981,40,M,Rude Boy,Rihanna,R&B and Hip-Hop,1,2009,1,,1,1,27,-1
1017,1981,40,M,Renegades,X Ambassadors,Pop,1,2015,0,0,0,,,-34
1017,1981,40,M,Never Far Away,Jim Brickman,Pop,1,2009,0,0,0,,,-28
1017,1981,40,M,Attention,Charlie Puth,Pop,1,2018,1,,0,,,-37
1007,2001,20,F,Stay,Florida Georgia Line,Country,0,2012,1,,1,1,16,5
1007,2001,20,F,Meant To Be,Bebe Rexha & Florida Georgia Line,Country,0,2017,1,,1,1,17,1
1007,2001,20,F,Rich,Maren Morris,Country,0,2017,1,,1,1,17,1
1007,2001,20,F,Look Around,Red Hot Chili Peppers,Pop,0,2011,0,0,0,,,-10
1007,2001,20,F,still feel.,half-alive,Pop,0,2019,0,0,0,,,-18
1007,2001,20,F,Rope,Foo Fighters,Pop,0,2011,1,,1,1,14,4
1007,2001,20,F,Want to Want Me,Jason Derulo,Alternative,0,2015,1,,0,,,-14
1007,2001,20,F,Do What You Can,Bon Jovi,Alternative,0,2020,1,,1,1,20,1
1007,2001,20,F,Lights Down Low,MAX & gnash,Alternative,0,2016,1,,1,1,18,3
1007,2001,20,F,Baggage Claim,Miranda Lambert,Country,1,2011,1,,0,,,-10
1007,2001,20,F,Get Me Some of That,Thomas Rhett,Country,1,2013,1,,0,,,-12
1007,2001,20,F,The Walk,Sawyer Brown,Country,1,1991,0,1,0,,,10
1007,2001,20,F,Perfect Situation,Weezer,Pop,1,2005,1,,1,1,16,12
1007,2001,20,F,Trainwreck 1979,Death From Above 1979,Pop,1,2014,0,0,0,,,-13
1007,2001,20,F,Break Away,Art Garfunkel,Pop,1,1975,0,1,1,1,16,42
1007,2001,20,F,Diamond Girl,Seals and Crofts,Alternative,1,1973,0,0,0,,,28
1007,2001,20,F,The Real Thing,Bo Bice,Alternative,1,2005,0,1,1,1,15,11
1007,2001,20,F,Peek-A-Boo,Siouxsie and the Banshees,Alternative,1,1988,0,0,0,,,13
1005,2000,21,F,Instant Crush,Daft Punk & Julian Casablancas,Dance/Electronic,0,2013,1,,0,,,-13
1005,2000,21,F,Setting Fires,The Chainsmokers & XYLO,Dance/Electronic,0,2016,0,0,0,,,-16
1005,2000,21,F,Good Things Fall Apart,ILLENIUM & Jon Bellion,Dance/Electronic,0,2019,1,,1,1,17,-2
1005,2000,21,F,Believe It,PARTYNEXTDOOR & Rihanna,R&B and Hip-Hop,0,2020,1,,1,1,18,-2
1005,2000,21,F,Lemon,N.E.R.D & Rihanna,R&B and Hip-Hop,0,2017,0,0,0,,,-17
1005,2000,21,F,Rap God,Eminem,R&B and Hip-Hop,0,2013,1,,1,1,15,2
1005,2000,21,F,Looking Up,Elton John,Pop,0,2016,1,,1,1,20,4
1005,2000,21,F,This is What You Came For,Calvin Harris & Rihanna,Pop,0,2016,1,,1,1,12,-4
1005,2000,21,F,A Light That Never Comes,Linkin Park & Steve Aoki,Dance/Electronic,0,2013,0,0,0,,,-13
1005,2000,21,F,Until You Were Gone,"The Chainsmokers, Tritonal, & Emily Warren",Dance/Electronic,1,2015,1,,0,,,-15
1005,2000,21,F,New York City,The Chainsmokers,Dance/Electronic,1,2015,1,,1,0,15,0
1005,2000,21,F,Cherish,Kool & The Gang,R&B and Hip-Hop,1,1999,1,,0,,,1
1005,2000,21,F,How To Love,Lil Wayne,R&B and Hip-Hop,1,2011,1,,1,1,20,9
1005,2000,21,F,Control,Janet Jackson,R&B and Hip-Hop,1,1986,1,,1,1,15,29
1005,2000,21,F,Dreaming With A Broken Heart,John Mayer,Pop,1,2006,1,,1,1,19,13
1005,2000,21,F,Won't Go Home Without You,Maroon 5,Pop,1,2007,1,,1,1,15,8
1005,2000,21,F,Domino,Jessie J,Pop,1,2011,1,,0,,,-11
1005,2000,21,F,September,Daughtry,Pop,0,2009,1,,1,1,16,7
1001,2000,21,F,Momma's House,Dustin Lynch,Country,0,2020,1,,0,,,-20
1001,2000,21,F,I Wish Grandpas Never Died,Riley Green,Country,0,2019,1,,1,1,20,1
1001,2000,21,F,Neon Light,Blake Shelton,Country,0,2014,1,,0,,,-14
1001,2000,21,F,To a T,Ryan Hurd,Country,0,2019,1,,1,1,18,-1
1001,2000,21,F,One Too Many,Keith Urban & P!nk,Country,0,2020,1,,0,,,-20
1001,2000,21,F,Speechless,Dan + Shay,Country,0,2018,1,,1,1,17,-1
1001,2000,21,F,What Do You Got?,Bon Jovi,Pop,0,2010,0,0,0,,,-10
1001,2000,21,F,Something Just Like This,Chainsmokers & Coldplay,Pop,0,2017,1,,1,1,18,1
1001,2000,21,F,Can't Help Falling In Love,Haley Reinhart,Pop,0,2016,1,,1,1,16,0
1001,2000,21,F,"Shine, Shine, Shine",Eddy Raven,Country,1,1997,0,1,1,1,11,14
1001,2000,21,F,Always On My Mind,Willie Nelson,Country,1,1982,1,,1,1,9,27
1001,2000,21,F,That's My Story,Collin Raye,Country,1,1993,0,0,0,,,7
1001,2000,21,F,Cleaning This Gun (Come On In Boy),Rodney Atkins,Country,1,2006,0,0,0,,,-6
1001,2000,21,F,Loved Too Much,Ty Herndon,Country,1,1996,0,1,0,,,4
1001,2000,21,F,It's Just a Matter of Time,Randy Travis,Country,1,1989,0,0,0,,,11
1001,2000,21,F,I Never Told You,Colbie Caillat,Pop,1,2009,1,,1,1,8,-1
1001,2000,21,F,All Through The Night,Cyndi Lauper,Pop,1,1983,0,0,0,,,17
1001,2000,21,F,Making Memories of Us,Keith Urban  ,Pop,1,2007,0,1,0,,,-7
1006,1998,23,M,Light It Up,Luke Bryan,Country,0,2017,0,0,1,1,12,-7
1006,1998,23,M,What Happens In A Small Town,Brantley Gilbert & Lindsay Ell,Country,0,2018,1,,1,1,8,-12
1006,1998,23,M,It Goes Like This,Thomas Rhett,Country,0,2013,0,1,1,1,12,-3
1006,1998,23,M,High School,Nicki Minaj & Lil Wayne,Rap,0,2012,0,0,1,1,16,2
1006,1998,23,M,Wake Up in the Sky,"Gucci Mane, Bruno Mars, & Kodak Black",Rap,0,2018,1,,0,,,-20
1006,1998,23,M,Going Bad,Meek Mill & Drake,Rap,0,2018,1,,0,,,-20
1006,1998,23,M,Tuesday,ILOVEMAKONNEN & Drake,R&B and Hip-Hop,0,2014,1,,1,1,17,1
1006,1998,23,M,Main Chick,Kid Ink & Chris Brown,R&B and Hip-Hop,0,2014,1,,1,1,14,-2
1006,1998,23,M,a lot,21 Savage,R&B and Hip-Hop,0,2018,1,,1,1,21,1
1006,1998,23,M,Once In a Blue Moon,Earl Thomas Conley,Country,1,1981,0,0,0,,,17
1006,1998,23,M,Coward Of The Country,Kenny Rogers,Country,1,1979,0,0,0,,,19
1006,1998,23,M,"One Boy, One Girl",Collin Raye,Country,1,1995,0,1,1,1,13,16
1006,1998,23,M,Ain't Worried About Nothin,French Montana ,Rap,1,2013,1,,0,,,-15
1006,1998,23,M,Swimming Pools (Drank),Kendrick Lamar,Rap,1,2012,1,,1,1,16,2
1006,1998,23,M,Sweet Lady,Tyrese,Rap,1,1998,0,0,0,,,0
1006,1998,23,M,We Must Be in Love,The Impressions,R&B and Hip-Hop,1,1970,0,0,1,1,23,51
1006,1998,23,M,Still Tippin',"Mike Jones, Paul Wall, & Slim Thug",R&B and Hip-Hop,1,2005,0,1,0,,,-7
1006,1998,23,M,Rish As Fuck,Lil Wayne & 2 Chains,R&B and Hip-Hop,1,2013,1,,1,1,15,0
1008,2002,19,M,From Can to Can't,"Corey Taylor, Dave Grohl, Rick Nielsen, Scott Reeder",Rock,0,2013,0,0,0,,,-11
1008,2002,19,M,Sham Pain,Five Finger Death Punch,Rock,0,2018,0,1,1,1,14,-2
1008,2002,19,M,The Sky Is A Neighborhood,Foo Fighters,Rock,0,2017,0,0,1,1,10,-5
1008,2002,19,M,House on Fire,Rise Against,Alternative,0,2017,0,0,0,,,-15
1008,2002,19,M,High Dive,Andrew McMahon in the Wilderness,Alternative,0,2014,0,0,0,,,-12
1008,2002,19,M,Unbelievers,Vampire Weekend,Alternative,0,2013,0,1,1,1,12,1
1008,2002,19,M,(Kissed You) Good Night,Gloriana,Country,0,2012,0,0,0,,,-10
1008,2002,19,M,El Cerito Place,Kenny Chesney,Country,0,2012,0,0,0,,,-10
1008,2002,19,M,Keep Me in Mind,Zac Brown Band,Country,0,2010,1,,1,1,10,2
1008,2002,19,M,The Vengeful One,Disturbed,Rock,1,2015,0,1,0,,,-13
1008,2002,19,M,The Pot,TOOL,Rock,1,2006,0,0,0,,,-4
1008,2002,19,M,Fall Into Sleep,Mudvayne,Rock,1,2005,0,0,0,,,-3
1008,2002,19,M,King Without a Crown,Matisyahu,Alternative,1,2006,0,0,1,1,13,9
1008,2002,19,M,No Way Back,Foo Fighters,Alternative,1,2005,1,,1,1,10,7
1008,2002,19,M,Adolescents,Incubus,Alternative,1,2011,0,0,0,,,-9
1008,2002,19,M,Hell Of A Night,Dustin Lynch,Country,1,2014,0,1,1,1,13,1
1008,2002,19,M,You Know Me Better Than That,George Straight,Country,1,1995,0,0,0,,,7
1008,2002,19,M,Yeah,Joe Nichols,Country,1,2013,0,0,0,,,-11
1014,1963,58,M,Carolyn's Fingers,Cocteau Twins,Alternative,0,1988,0,0,1,1,21,-4
1014,1963,58,M,Desire,U2,Alternative,0,1988,1,,1,0,20,-5
1014,1963,58,M,Back On The Breadline,Hunters & Collectors,Alternative,0,1988,0,0,1,1,21,-4
1014,1963,58,M,Somebody,Bryan Adams,Rock,0,1984,1,,1,1,25,4
1014,1963,58,M,I Will Not Go Quietly,Don Henley,Rock,0,1989,0,0,1,0,18,-8
1014,1963,58,M,High Enough,Damn Yankees,Rock,0,1990,1,,1,0,25,-2
1014,1963,58,M,I Don't Think She's In Love Anymore,Charley Pride,Country,0,1982,0,0,1,1,18,-1
1014,1963,58,M,One Promise Too Late,Reba McEntire,Country,0,1986,0,0,0,,,-23
1014,1963,58,M,I'm Still Crazy,Vern Gosdin,Country,0,1989,0,0,0,,,-26
1014,1963,58,M,everything I wanted,Billie Eilish,Alternative,1,2019,0,0,1,0,21,-35
1014,1963,58,M,Twisted Transistor,Korn,Alternative,1,2005,0,0,0,,,-42
1014,1963,58,M,Stolen Dance,Milky Chance,Alternative,1,2014,0,0,0,,,-51
1014,1963,58,M,Absolute Zero,Stone Sour,Rock,1,2012,0,0,0,,,-49
1014,1963,58,M,Cold (But I'm Still Here),Evans Blue,Rock,1,2006,0,0,0,,,-43
1014,1963,58,M,The Gift,Seether,Rock,1,2005,0,0,0,,,-42
1014,1963,58,M,Anything Goes,Florida Georgia Line,Country,1,2014,1,,0,,,-51
1014,1963,58,M,Alright,Darius Rucker,Country,1,2008,1,,1,1,51,6
1014,1963,58,M,Work In Progress,Alan Jackson,Country,1,2002,0,0,0,,,-39
1034,1996,25,F,Just Go,Lionel Richie & Akon,Pop,0,2009,0,0,0,,,-13
1034,1996,25,F,A Thousand Years,Christina Perri,Pop,0,2011,1,,1,1,16,1
1034,1996,25,F,Ain't It Fun,Paramore,Pop,0,2013,1,,1,1,10,-7
1034,1996,25,F,Too Good,Drake & Rihanna,Rap,0,2016,1,,1,1,21,1
1034,1996,25,F,Neva End,Future,Rap,0,2012,0,0,0,,,-16
1034,1996,25,F,Hot,Young Thug featuring Gunna,Rap,0,2019,0,1,0,,,-23
1034,1996,25,F,I Found You,benny blanco with Calvin Harris,Dance/Electronic,0,2018,0,1,0,,,-22
1034,1996,25,F,In Your Eyes,Robin Schulz featuring Alida,Dance/Electronic,0,2020,0,0,0,,,-24
1034,1996,25,F,Call You Mine,The Chainsmokers & Bebe Rexha,Dance/Electronic,0,2019,0,1,0,,,-23
1034,1996,25,F,Dancing On The Ceiling,Lionel Richie,Pop,1,1986,0,0,0,,,10
